index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2015-01-01,VHC,4,2014,,,10.7,,0.251,0.117,30.0,83.0,10.0,3.5,2290.0,10110.0,,,,,,0.402,,,0.7,1.2,0.7,0.079,6617.0,0.1,0.03,0.021,1.1,0.4,2.6,310.3,2.5,574.0,0.048,0.026,102.0,12.2,-0.403,1.8,1.6,0.03,1.1,,,,,,,,,1.5,,-0.147,0.065,,2015-01-01
2014-10-01,VHC,3,2014,,,9.3,,0.241,0.103,38.0,85.0,13.0,19.4,2124.0,9496.0,,,,,,0.428,,,0.8,1.2,0.7,1.248,7755.0,0.17,0.112,0.162,0.9,0.4,3.3,24.9,2.3,530.0,0.085,0.045,109.0,9.7,-0.32,1.5,1.3,0.112,1.9,,,,,,,,,1.3,,0.29,0.263,,2014-10-01
2014-07-01,VHC,2,2014,,,7.6,,0.12,0.052,32.0,88.0,11.0,14.5,944.0,7521.0,,,,,,0.42,,,0.9,1.4,0.7,0.151,6013.0,0.122,0.06,0.043,0.8,0.4,3.7,18.5,2.4,672.0,0.081,0.052,109.0,11.4,-0.237,1.6,1.4,0.06,1.0,,,,,,,,,1.1,,0.071,-0.02,,2014-07-01
2014-04-01,VHC,1,2014,,,8.1,,0.104,0.05,28.0,87.0,9.0,6.6,821.0,7675.0,,,,,,0.526,,,1.5,1.8,0.7,-0.069,5612.0,0.109,0.048,0.034,0.4,0.2,3.4,6.2,1.9,795.0,0.057,0.044,105.0,13.2,-0.154,1.7,1.3,0.048,0.9,,,,,,,,,0.7,,0.006,0.011,,2014-04-01
2014-01-01,VHC,4,2013,,,9.3,,0.115,0.057,26.0,84.0,8.0,1.7,882.0,7591.0,,,,,,0.543,,,1.5,1.9,0.6,-0.16,5579.0,0.125,0.021,0.008,0.4,0.2,3.0,6.1,1.8,765.0,0.051,0.052,101.0,14.0,-0.13,1.8,2.7,0.021,1.0,,,,,,,,,0.7,,-0.014,0.007,,2014-01-01
2013-10-01,VHC,3,2013,,,8.9,,0.137,0.059,35.0,87.0,12.0,3.1,1050.0,7541.0,,,,,,0.396,,,0.8,1.4,0.8,0.061,5661.0,0.13,0.063,0.046,1.0,0.4,4.2,31.8,2.5,714.0,0.074,0.081,110.0,10.5,-0.195,1.5,1.3,0.063,1.0,,,,,,,,,1.3,,0.118,0.04,,2013-10-01
2013-07-01,VHC,2,2013,,,10.6,,0.134,0.059,32.0,89.0,9.0,2.8,990.0,7248.0,,,,,,0.388,,,0.7,1.4,0.8,-0.141,5064.0,0.097,0.039,0.03,1.1,0.4,4.5,32.7,2.6,658.0,0.084,0.08,112.0,11.3,-0.233,1.5,1.4,0.039,1.1,,,,,,,,,1.4,,-0.265,0.015,,2013-07-01
2013-04-01,VHC,1,2013,,,7.6,,0.157,0.076,36.0,97.0,12.0,3.6,1152.0,7142.0,,,,,,0.39,,,0.7,1.4,0.8,0.005,6894.0,0.122,0.053,0.047,1.1,0.4,3.0,32.2,2.6,697.0,0.049,0.054,121.0,10.2,-0.381,1.6,1.3,0.053,1.1,,,,,,,,,1.4,,-0.045,0.038,,2013-04-01
2013-01-01,VHC,4,2012,,,7.0,,0.165,0.076,37.0,88.0,12.0,2.1,1147.0,6880.0,,,,,,0.406,,,0.8,1.4,0.8,-0.142,7216.0,0.117,0.034,0.037,0.9,0.4,2.9,,2.5,619.0,0.026,0.026,114.0,9.9,-0.331,1.5,1.3,0.034,1.5,,,,,,,,,1.3,,-0.156,-0.001,,2013-01-01
2012-10-01,VHC,3,2012,,,6.0,,0.192,0.094,46.0,82.0,14.0,4.7,1336.0,6885.0,,,,,,0.419,,,0.8,1.4,0.8,-0.125,8549.0,0.115,0.047,0.042,0.9,0.4,2.0,,2.4,664.0,0.059,0.051,113.0,8.0,-0.281,1.6,1.3,0.047,1.2,,,,,,,,,1.2,,-0.129,0.036,,2012-10-01
