index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2017-07-01,SLS,2,2017,6.2,2.4,9.9,,0.473,0.247,54.0,144.0,18.0,5.8,16653.0,42933.0,,,,,,0.46,,,0.9,1.7,1.0,-0.106,23004.0,0.345,0.287,0.266,1.0,0.5,1.4,1.5,2.2,215.0,0.054,0.017,180.0,6.8,-0.465,0.8,1.0,0.287,0.9,,,,,,,,,1.2,,-0.08,0.1,,2017-07-01
2017-04-01,SLS,1,2017,4.1,2.0,8.7,,0.581,0.305,55.0,142.0,74.0,20.4,18637.0,39013.0,,,,,,0.488,,,1.0,2.0,1.2,0.332,25002.0,0.353,0.323,0.313,0.7,0.3,0.8,0.7,2.1,242.0,0.026,0.007,123.0,6.7,0.368,0.9,1.0,0.323,1.0,,,,,,,,,1.1,,0.203,0.322,,2017-04-01
2017-01-01,SLS,4,2016,3.7,1.7,9.5,,0.563,0.341,4.0,46.0,39.0,5.4,13994.0,29500.0,,,,,,0.533,,,1.1,2.2,1.7,0.034,20775.0,0.405,0.285,0.262,0.6,0.3,0.6,0.2,1.9,134.0,0.008,0.002,12.0,88.7,-0.3,1.3,1.0,0.285,0.9,,,,,,,,,0.9,,-0.058,-0.005,,2017-01-01
2016-10-01,SLS,3,2016,5.4,2.5,5.4,,0.52,0.372,2.0,28.0,6.0,12.3,13538.0,29643.0,,,,,,0.656,,,1.9,3.7,3.3,-0.026,22064.0,0.463,0.418,0.383,0.4,0.3,0.4,0.4,1.5,189.0,0.002,0.001,24.0,239.2,-0.342,1.4,1.0,0.418,0.9,,,,,,,,,0.5,,-0.009,0.079,,2016-10-01
2016-07-01,SLS,2,2016,4.2,2.2,5.9,,0.579,0.394,11.0,74.0,7.0,53.5,13906.0,27484.0,,,,,,0.661,,,2.0,2.7,2.1,0.19,22256.0,0.36,0.356,0.365,0.3,0.2,0.2,0.5,1.5,151.0,0.003,0.001,78.0,32.8,-0.449,1.7,1.0,0.356,1.0,,,,,,,,,0.5,,0.181,0.095,,2016-07-01
2016-04-01,SLS,1,2016,2.8,1.3,6.9,,0.541,0.293,20.0,74.0,67.0,44.1,11687.0,25105.0,,,,,,0.596,,,1.5,2.1,1.4,0.451,18847.0,0.219,0.178,0.178,0.2,0.1,0.1,0.0,1.7,143.0,0.109,0.037,26.0,18.6,-0.012,1.6,1.0,0.178,1.0,,,,,,,,,0.7,,0.473,0.241,,2016-04-01
2016-01-01,SLS,4,2015,3.0,1.2,6.5,,0.434,0.312,2.0,40.0,28.0,478.7,8054.0,20234.0,,,,,,0.754,,,3.1,2.8,2.2,0.163,12797.0,0.308,0.167,0.167,0.0,0.0,0.1,1.0,1.3,109.0,0.04,0.014,13.0,195.3,-0.012,2.2,0.8,0.167,0.8,,,,,,,,,0.3,,0.253,-0.097,,2016-01-01
2015-10-01,SLS,3,2015,2.4,0.8,3.8,,0.337,0.269,5.0,32.0,4.0,651.5,6922.0,22406.0,,,,,,0.81,,,4.3,3.8,3.3,0.457,10214.0,0.214,0.19,0.193,0.0,0.0,0.1,,1.2,142.0,0.366,0.235,33.0,80.6,-0.128,2.3,1.0,0.19,1.0,,,,,,,,,0.2,,0.035,0.089,,2015-10-01
2015-07-01,SLS,2,2015,2.3,0.5,4.6,,0.244,0.172,5.0,88.0,2.0,,4750.0,20573.0,,,,,,0.709,,,2.4,2.5,1.1,1.314,9873.0,0.2,0.181,0.197,0.0,0.0,0.1,,1.4,125.0,0.099,0.061,91.0,71.1,-0.012,1.8,1.0,0.181,1.1,,,,,,,,,0.4,,0.494,0.135,,2015-07-01
2015-04-01,SLS,1,2015,5.6,0.6,2.5,,0.11,0.059,8.0,114.0,79.0,91.6,2053.0,18131.0,,,,,,0.481,,,0.9,1.5,0.9,0.128,6607.0,0.1,0.057,0.059,0.0,0.0,0.0,,2.1,93.0,0.438,0.408,43.0,43.0,-0.005,1.3,1.1,0.057,1.2,,,,,,,,,1.1,,0.382,0.072,,2015-04-01
2015-01-01,SLS,4,2014,,,5.8,,0.103,0.072,2.0,53.0,31.0,-17.6,1820.0,16910.0,,,,,,0.684,,,2.2,2.1,1.2,-0.268,4781.0,-0.075,-0.175,-0.077,0.1,0.1,0.3,,1.5,81.0,0.065,0.058,24.0,166.9,-0.004,1.7,1.1,-0.175,0.5,,,,,,,,,0.5,,-0.255,-0.097,,2015-01-01
2014-10-01,SLS,3,2014,,,4.5,,0.13,0.105,10.0,36.0,4.0,10.2,2485.0,18731.0,,,,,,0.788,,,3.7,3.1,1.8,-0.164,6421.0,0.141,0.09,0.081,0.1,0.1,0.2,,1.3,103.0,0.015,0.015,41.0,38.0,-0.043,1.8,1.3,0.09,1.2,,,,,,,,,0.3,,0.378,0.019,,2014-10-01
2014-07-01,SLS,2,2014,,,5.5,,0.153,0.112,10.0,66.0,2.0,18.7,2974.0,18387.0,,,,,,0.704,,,2.4,2.3,1.1,-0.403,4660.0,0.12,0.087,0.076,0.1,0.1,0.3,,1.4,102.0,0.002,0.002,73.0,37.4,-0.006,1.6,1.2,0.087,1.1,,,,,,,,,0.4,,-0.445,-0.049,,2014-07-01
2014-04-01,SLS,1,2014,,,2.7,,0.271,0.152,6.0,115.0,41.0,18.2,4984.0,19336.0,,,,,,0.613,,,1.6,1.9,0.7,-0.041,8390.0,0.112,0.063,0.056,0.0,0.0,0.3,,1.6,111.0,0.101,0.101,81.0,59.5,-0.006,1.8,1.3,0.063,1.2,,,,,,,,,0.6,,-0.039,0.052,,2014-04-01
2014-01-01,SLS,4,2013,,,2.1,,0.302,0.201,2.0,42.0,28.0,-1.0,5196.0,18376.0,,,,,,0.709,,,2.4,2.2,1.5,0.016,8734.0,0.072,-0.008,0.022,0.0,0.0,0.1,,1.4,86.0,0.21,0.195,16.0,235.6,-0.007,2.3,1.6,-0.008,-4.7,,,,,,,,,0.4,,0.065,-0.055,,2014-01-01
2013-10-01,SLS,3,2013,,,1.6,,0.279,0.217,5.0,13.0,3.0,1011.5,5113.0,19448.0,,,,,,0.821,,,4.6,3.8,3.6,0.039,8199.0,0.23,0.186,0.152,0.0,0.0,0.0,,1.2,118.0,0.376,0.405,15.0,68.1,-0.008,2.4,1.3,0.186,1.1,,,,,,,,,0.2,,0.111,-0.046,,2013-10-01
