index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2017-07-01,VIC,2,2017,69.2,4.4,17.3,,0.065,0.01,30.0,329.0,35.0,3.2,453.0,7075.0,,,,,,0.139,,,0.3,0.8,0.4,0.039,4529.0,0.31,0.141,0.041,1.0,0.2,3.8,0.3,7.2,-19514.0,0.22,0.062,324.0,12.1,-0.517,0.4,2.3,0.141,0.7,,,,,,,,,3.5,,0.291,0.026,,2017-07-01
2017-04-01,VIC,1,2017,70.4,4.5,18.0,,0.064,0.01,20.0,342.0,28.0,2.2,436.0,6895.0,,,,,,0.14,,,0.3,0.9,0.4,0.069,3508.0,0.338,0.108,0.058,1.0,0.2,5.2,0.2,7.1,-12310.0,0.317,0.121,333.0,18.4,-0.51,0.4,1.4,0.108,0.8,,,,,,,,,3.3,,-0.093,-0.006,,2017-04-01
2017-01-01,VIC,4,2016,75.6,4.4,15.8,,0.063,0.01,20.0,265.0,49.0,0.9,408.0,6933.0,,,,,,0.147,,,0.3,0.7,0.4,-0.185,3868.0,0.307,0.069,-0.007,0.9,0.2,4.4,0.2,6.8,-26625.0,0.224,0.092,236.0,18.5,-0.547,0.4,-9.5,0.069,1.0,,,,,,,,,3.0,,0.039,0.012,,2017-01-01
2016-10-01,VIC,3,2016,65.3,4.8,17.6,,0.079,0.013,22.0,325.0,30.0,1.8,500.0,6851.0,,,,,,0.15,,,0.3,1.0,0.6,-0.04,3723.0,0.32,0.099,0.016,1.1,0.3,4.9,0.1,6.6,225.0,0.23,0.086,316.0,16.9,-0.617,0.3,3.0,0.099,0.5,,,,,,,,,3.1,,-0.122,-0.012,,2016-10-01
2016-07-01,VIC,2,2016,56.8,4.3,19.2,,0.082,0.015,38.0,320.0,34.0,0.1,521.0,6937.0,,,,,,0.167,,,0.4,1.1,0.6,0.315,4241.0,0.263,0.011,0.083,0.9,0.2,5.0,0.1,6.0,5263.0,0.11,0.043,324.0,9.6,-0.807,0.3,2.4,0.011,18.8,,,,,,,,,2.6,,-0.095,0.019,,2016-07-01
2016-04-01,VIC,1,2016,64.2,3.7,16.2,,0.065,0.012,18.0,268.0,29.0,3.5,396.0,6807.0,,,,,,0.174,,,0.4,1.1,0.7,0.302,4687.0,0.324,0.177,0.053,1.0,0.3,4.7,0.1,5.7,3670.0,0.114,0.047,257.0,20.6,-0.604,0.3,2.8,0.177,0.8,,,,,,,,,2.6,,0.244,0.131,,2016-04-01
2016-01-01,VIC,4,2015,81.0,4.1,20.7,,0.054,0.01,17.0,318.0,33.0,2.3,304.0,6020.0,,,,,,0.157,,,0.3,1.0,0.6,-0.126,3768.0,0.317,0.137,0.013,1.0,0.3,5.6,0.0,6.4,1061.0,0.204,0.075,302.0,21.7,-0.658,0.3,5.1,0.137,0.5,,,,,,,,,2.9,,0.112,0.032,,2016-01-01
2015-10-01,VIC,3,2015,64.6,3.9,19.7,,0.065,0.013,28.0,402.0,28.0,2.3,348.0,5833.0,,,,,,0.176,,,0.3,1.1,0.7,-0.323,3389.0,0.376,0.113,0.035,1.2,0.3,6.2,0.1,5.7,6229.0,0.313,0.116,402.0,13.0,-1.048,0.2,2.2,0.113,0.7,,,,,,,,,3.0,,-0.402,0.018,,2015-10-01
2015-07-01,VIC,2,2015,45.6,4.1,15.9,,0.1,0.02,22.0,394.0,29.0,1.5,515.0,5727.0,,,,,,0.197,,,0.4,1.2,0.7,-0.225,5669.0,0.353,0.148,0.048,1.2,0.3,5.2,0.1,5.1,9712.0,0.287,0.108,386.0,16.7,-1.049,0.3,2.0,0.148,0.6,,,,,,,,,2.6,,-0.169,0.59,,2015-07-01
2015-04-01,VIC,1,2015,30.3,5.6,14.1,,0.139,0.029,12.0,341.0,31.0,2.3,665.0,3601.0,,,,,,0.143,,,0.3,1.3,0.8,-0.204,6825.0,0.356,0.198,0.068,1.7,0.4,4.1,0.1,7.0,9855.0,0.259,0.07,322.0,29.2,-0.783,0.3,1.6,0.198,0.6,,,,,,,,,3.3,,-0.039,0.011,,2015-04-01
